,약국명,토요일 시작,토요일 종료,일요일 시작,일요일 종료,공휴일 시작,공휴일 종료,위도,경도,구별
3587,삼양약국,,,,,,,37.6248116,127.02106459999999,강북구
3588,경희메디칼약국,0900,1300,,,,,37.5936464,127.0528373,동대문구
3589,드림온누리약국,0900,1800,,,,,37.54186809999999,126.86931729999999,양천구
3590,신중앙약국,0730,2200,,,,,37.5654384,127.0199257,중구
3591,왕자약국,0900,1700,,,,,37.5628266,127.01618049999999,중구
3592,메디칼우리약국,,,,,,,37.6510283,127.07722720000001,노원구
3593,기쁨약국,0900,1430,,,,,37.55621259999999,126.91024209999999,마포구
3594,봄약국,0800,1600,,,,,37.5732904,127.0153217,종로구
3595,우리네온누리약국,0800,2200,,,,,37.4848305,126.88799170000001,구로구
3596,소나무약국,,,,,,,37.4785036,127.04678510000001,강남구
3597,삼주약국,0900,1900,,,,,37.5014075,127.0401244,강남구
3598,응암프라자약국,0900,2030,,,,,37.588913500000004,126.91717290000001,은평구
3599,다래약국,,,,,,,37.5018592,127.03727759999998,강남구
3600,나눔약국,0930,1600,,,,,37.537578,126.8722063,양천구
3601,미아팜약국,0900,1600,,,,,37.629255,127.0226017,강북구
3602,홍삼약국,0830,2000,,,,,37.5189039,126.8531096,양천구
3603,수산약국,1000,2200,1000,2200,1000,2200,37.514482799999996,126.93702090000001,동작구
3604,아이약국,,,,,,,37.571424799999996,127.0702659,동대문구
3605,호호약국,0900,2200,1300,2200,,,37.4842235,126.9276952,관악구
3606,모스팜약국,1000,2030,,,1200,2000,37.507043100000004,126.8902185,구로구
3607,청아약국,0900,1300,,,,,37.514916799999995,127.0299574,강남구
3608,나무약국,,,,,,,37.5516256,127.0257166,성동구
3609,소망약국,0900,1800,,,,,37.5571506,126.923603,마포구
3610,가양온누리약국,0900,1600,,,,,37.56126830000001,126.8602465,강서구
3611,면목약국,0900,1600,,,0900,1300,37.5884749,127.08906259999999,중랑구
3612,아라타워아이약국,1100,1730,,,,,37.498036,127.02649699999999,서초구
3613,다온약국,0800,1630,,,,,37.600500399999994,126.9214759,은평구
3614,주온누리약국,,,,,,,37.543862,127.14255759999999,강동구
3615,미소약국,0900,1400,,,,,37.5411078,127.13028659999999,강동구
3616,이레약국,,,,,,,37.6114005,126.92943500000001,은평구
3617,양모약국,1000,2100,1000,2100,,,37.5065865,126.90472290000001,영등포구
3618,굿모닝약국,,,,,,,37.5300141,127.13138390000002,강동구
3619,한마음약국,0900,1400,,,,,37.6663859,127.0455878,도봉구
3620,바른약국,,,,,,,37.5189909,127.0256365,강남구
3621,곰약국,0900,1530,,,,,37.6055989,126.91504309999999,은평구
3622,다사랑약국,,,,,,,37.486801899999996,127.1271929,송파구
3623,참조은약국,0800,1330,,,,,37.5706612,127.00725790000001,종로구
3624,대치참약국,0900,1400,,,,,37.4935825,127.06037409999999,강남구
3625,숭인약국,0730,2200,1100,2100,1100,2200,37.627848799999995,127.0227875,강북구
3626,매일약국,0900,1500,,,,,37.4736468,126.96690890000002,관악구
3627,구룡약국,0900,1600,0930,1330,0930,1330,37.518809000000005,126.86360990000001,양천구
3628,대현온누리약국,0900,1800,,,0900,1300,37.557745399999995,126.8607246,강서구
3629,동남약국,,,,,,,37.603103499999996,127.09553770000001,중랑구
3630,마곡정문약국,0900,1700,,,,,37.5527162,126.8262608,강서구
3631,i튼튼약국,0900,1600,0900,1600,0900,1600,37.6710279,127.05295190000001,노원구
3632,로뎀약국,0900,1500,,,,,37.4850429,126.9136298,관악구
3633,현대약국,,,,,,,37.5498491,127.03113229999998,성동구
3634,153온누리약국,,,,,,,37.5549336,127.03674270000002,성동구
3635,원약국,0900,1500,,,,,37.597719500000004,127.09329129999999,중랑구
3636,이층약국,0900,1500,,,,,37.6073386,126.9132972,은평구
3637,아가페온누리약국,0900,1700,,,,,37.603148600000004,127.0137709,성북구
3638,삼성약국,0830,1600,0900,1400,0900,1300,37.5988352,127.02209350000001,성북구
3639,백화점약국,0830,2130,,,,,37.64055689999999,127.0295544,강북구
3640,편안한약국,0830,1600,0830,1300,,,37.580251700000005,127.08879820000001,중랑구
3641,명동명약국,0930,2130,0930,2130,0930,2130,37.5667752,126.9794837,중구
3642,신아산약국,0800,2000,,,0800,2000,37.57129940000001,127.0062182,종로구
3643,스타온누리약국,0900,1400,,,,,37.5556098,127.0718663,광진구
3644,서수약국,0900,1200,,,,,37.5906641,127.00361000000001,성북구
3645,왕온누리약국,0900,1700,,,,,37.52224229999999,126.9056185,영등포구
3646,대인당온누리약국,0900,1700,,,,,37.4549686,126.9000791,금천구
3647,휴베이스다정약국,0900,2200,1000,2200,,,37.4762755,126.9647868,관악구
3648,알파약국,0900,1600,,,,,37.58879719999999,126.94442749999999,서대문구
3649,압구정제이약국,,,,,,,37.5254493,127.02712959999998,강남구
