,약국명,공휴일 시작,공휴일 종료,위도,경도,구별
282,녹십자약국,1400.0,2300.0,37.5557665,126.8571546,강서구
283,웰빙국내선약국,700.0,1950.0,37.555525,126.8067017,강서구
284,365그린약국,900.0,1300.0,37.5533911,126.8269055,강서구
285,독산종로약국,900.0,2000.0,37.4788057,126.904051,금천구
286,별장약국,900.0,2330.0,37.4491259,126.9082092,금천구
287,토마스약국,900.0,2130.0,37.4672831,126.8991085,금천구
288,명문당약국,1530.0,2130.0,37.45528570000001,126.900747,금천구
289,신보생약국,900.0,2000.0,37.4750233,126.9009644,금천구
290,삼화약국,900.0,2230.0,37.4500511,126.9040017,금천구
291,경일약국,900.0,2200.0,37.4580789,126.9002585,금천구
292,형제약국,900.0,2230.0,37.451204800000006,126.90872040000002,금천구
293,남문프라자약국,900.0,2100.0,37.4725609,126.89865690000002,금천구
294,예닮약국,900.0,1300.0,37.469756,126.8975031,금천구
295,강서약국,900.0,1600.0,37.5370133,126.8632205,강서구
296,인화약국,1000.0,2100.0,37.51111909999999,126.9451481,동작구
297,상마약국,1030.0,1730.0,37.5232563,126.8758225,양천구
298,내외약국,1000.0,1300.0,37.5182365,126.8417727,양천구
299,보람약국,900.0,1800.0,37.5443602,126.8705255,양천구
300,성심약국,1000.0,1800.0,37.546236500000006,126.877364,양천구
301,영민약국,900.0,1430.0,37.5345944,126.8847018,양천구
302,목동세계로약국,900.0,2100.0,37.52270499999999,126.8766195,양천구
303,목동행복한약국,1000.0,2200.0,37.52070629999999,126.8521193,양천구
304,목동행복한약국,1000.0,2200.0,37.524622,126.8413979,양천구
305,사당소화약국,1200.0,1800.0,37.4983838,126.9210091,동작구
306,진원약국,830.0,2100.0,37.5103197,126.9360913,동작구
307,대영약국,900.0,1300.0,37.5077227,126.9492564,동작구
308,미래팜약국,1000.0,1600.0,37.5567005,126.9241437,마포구
309,태평양약국,900.0,2400.0,37.5527992,126.9239678,마포구
310,더블유스토어연세약국,830.0,1230.0,37.5575783,126.91510490000002,마포구
311,신일약국,1600.0,2240.0,37.5560321,126.9624213,마포구
312,박순영온누리약국,1200.0,1800.0,37.5082021,127.1283034,송파구
313,새건영약국,1000.0,2030.0,37.4821714,127.1263389,송파구
314,금강약국,900.0,1800.0,37.5002877,127.1053521,송파구
315,건우약국,1000.0,2200.0,37.5525157,126.9559139,마포구
316,비온뒤숲속약국,1200.0,2100.0,37.5581472,126.9078145,마포구
317,메디컬성모약국,900.0,2100.0,37.54653890000001,126.9454436,마포구
318,상암월드약국,1000.0,2230.0,37.5853823,126.88218159999998,마포구
319,더블유스토어연세약국,830.0,1230.0,37.5551342,126.9356458,마포구
320,청심약국,1430.0,2100.0,37.5508569,126.90693290000002,마포구
321,이화키즈팜약국,830.0,1330.0,37.5458958,126.9515058,마포구
322,옵티마유한약국,900.0,2000.0,37.5702658,126.9034118,마포구
323,마래푸약국,900.0,1900.0,37.5555758,126.9550258,마포구
324,W스토아청와약국,830.0,2300.0,37.4845387,126.8880108,구로구
325,구로종로약국,1100.0,2100.0,37.49575170000001,126.84256670000002,구로구
326,365열린약국,830.0,2230.0,37.5026074,126.8498258,구로구
327,성인약국,1000.0,2100.0,37.486498,126.8561607,구로구
328,구림약국,830.0,2100.0,37.47962460000001,126.8898519,구로구
329,제정약국,900.0,1800.0,37.4882348,126.9281806,관악구
330,대성약국,900.0,2200.0,37.48818350000001,126.9589166,관악구
331,새태평양온누리약국,1000.0,1800.0,37.4753949,126.9654829,관악구
332,505약국,900.0,2000.0,37.49813820000001,126.8841981,구로구
333,구로종로약국,1100.0,2100.0,37.5025245,126.8496404,구로구
334,정광약국,900.0,2100.0,37.49417920000001,126.8583787,구로구
335,신다정약국,1000.0,1700.0,37.47889770000001,126.9526427,관악구
336,일광약국,830.0,2030.0,37.4868485,126.9175511,관악구
337,대림약국,830.0,30.0,37.4764875,126.9587646,관악구
338,도래약국,1000.0,2200.0,37.4931521,127.1525023,송파구
339,문정우리들약국,1000.0,1600.0,37.5119129,127.1135622,송파구
340,3층메디칼약국,1000.0,1800.0,37.51571970000001,127.1322328,송파구
341,하나메디칼약국,1000.0,1700.0,37.4928214,127.1446138,송파구
342,일번약국,900.0,1730.0,37.5307648,127.112985,송파구
343,시장온누리약국,830.0,2100.0,37.5370915,127.1213535,송파구
344,트리지움자연약국,900.0,1300.0,37.5106681,127.0861994,송파구
345,아침햇살약국,1000.0,2300.0,37.4832997,126.9010965,구로구
346,아침햇살약국,1000.0,2300.0,37.5104893,126.8894187,구로구
347,태양약국,1000.0,2200.0,37.49558250000001,126.8423024,구로구
