,약국명,일요일 시작,일요일 종료,위도,경도,구별
355,시흥프라자약국,900.0,2100.0,37.4594614,126.9047562,금천구
356,녹수프라자약국,900.0,2200.0,37.4657159,126.9017801,금천구
357,고원약국,1000.0,2100.0,37.47680220000001,126.8948117,금천구
358,금강온누리약국,900.0,2200.0,37.51730720000001,126.9063931,영등포구
359,지현약국,1100.0,2330.0,37.5136894,126.9222537,영등포구
360,윤중약국,900.0,2100.0,37.5213559,126.9249795,영등포구
361,자성당약국,930.0,1800.0,37.5639494,126.812495,강서구
362,월성약국,800.0,2100.0,37.53169310000001,126.8379837,강서구
363,새은약국,830.0,2200.0,37.55562279999999,126.8654244,강서구
364,미동약국,1000.0,2100.0,37.5346186,126.8387925,강서구
365,금비약국,1200.0,1900.0,37.55307620000001,126.8703759,강서구
366,성혜약국,900.0,2100.0,37.5280344,126.8421518,강서구
367,미주약국,1800.0,2200.0,37.561687,126.8098122,강서구
368,내인당약국,930.0,2000.0,37.55274650000001,126.83606,강서구
369,태양약국,1000.0,2200.0,37.5353774,126.8614803,강서구
370,남문프라자약국,900.0,2100.0,37.4798346,126.8824997,금천구
371,비즈메드약국,1000.0,1700.0,37.4530099,126.9017478,금천구
372,건강플러스약국,1000.0,2230.0,37.4686493,126.8968106,금천구
373,선화온누리약국,1200.0,2030.0,37.5104348,126.9170284,영등포구
374,대명약국,1400.0,2030.0,37.5142196,126.9069031,영등포구
375,우당약국,800.0,2200.0,37.5181045,126.93297520000002,영등포구
376,녹십자약국,1400.0,2300.0,37.5557665,126.8571546,강서구
377,웰빙국내선약국,700.0,1900.0,37.555525,126.8067017,강서구
378,새한약국,1800.0,2230.0,37.5453501,126.8620483,강서구
379,굿모닝약국,900.0,1400.0,37.4795559,126.9041124,금천구
380,독산종로약국,930.0,1600.0,37.4788057,126.904051,금천구
381,별장약국,900.0,2330.0,37.4491259,126.9082092,금천구
382,정암산약국,900.0,2200.0,37.4511037,126.9023758,금천구
383,토마스약국,900.0,2130.0,37.4672831,126.8991085,금천구
384,삼화약국,800.0,2230.0,37.4500511,126.9040017,금천구
385,경일약국,900.0,2100.0,37.4580789,126.9002585,금천구
386,남문프라자약국,900.0,2100.0,37.4725609,126.89865690000002,금천구
387,예닮약국,900.0,1300.0,37.469756,126.8975031,금천구
388,명수대약국,1000.0,2000.0,37.50692919999999,126.96152240000002,동작구
389,약산약국,1030.0,2000.0,37.5112753,126.91446,영등포구
390,서진약국,900.0,1300.0,37.5022802,126.8963702,영등포구
391,온누리세종약국,1400.0,1900.0,37.47769479999999,126.9780598,동작구
392,대남약국,900.0,2200.0,37.5020997,126.9369103,동작구
393,상산약국,1000.0,2100.0,37.5055771,126.9611453,동작구
394,명인약국,1400.0,2000.0,37.4980298,126.9207304,동작구
395,인화약국,1000.0,2100.0,37.51111909999999,126.9451481,동작구
396,안일약국,1000.0,2200.0,37.497636,126.9347152,동작구
397,제일약국,1500.0,2030.0,37.5041589,126.92253429999998,동작구
398,호약국,900.0,2100.0,37.5335165,126.8359459,양천구
399,제성약국,1100.0,1900.0,37.5395496,126.8660131,양천구
